Correlativo,Timestamp,Estado anterior,Estado nuevo,Motivo
1191,2026-01-07 11:30:00,PROGRAMADA,EN_CURSO,
399,2026-01-07 11:30:00,PROGRAMADA,EN_CURSO,
1057,2026-01-07 12:00:00,EN_CURSO,REALIZADA,
654,2026-01-07 12:00:00,EN_CURSO,REALIZADA,
298,2026-01-07 12:00:00,EN_CURSO,REALIZADA,
1346,2026-01-07 12:00:00,PROGRAMADA,EN_CURSO,
1191,2026-01-07 12:15:00,EN_CURSO,REALIZADA,
562,2026-01-07 12:15:00,PROGRAMADA,EN_CURSO,
399,2026-01-07 13:00:00,EN_CURSO,REALIZADA,
1346,2026-01-07 13:00:00,EN_CURSO,REALIZADA,
562,2026-01-07 13:00:00,EN_CURSO,REALIZADA,
404,2026-01-07 13:00:00,PROGRAMADA,EN_CURSO,
1342,2026-01-07 13:30:00,PROGRAMADA,EN_CURSO,
404,2026-01-07 14:00:00,EN_CURSO,REALIZADA,
588,2026-01-07 14:00:00,PROGRAMADA,EN_CURSO,
1342,2026-01-07 15:00:00,EN_CURSO,REALIZADA,
588,2026-01-07 15:00:00,EN_CURSO,REALIZADA,
575,2026-01-07 15:00:00,PROGRAMADA,EN_CURSO,
575,2026-01-07 16:00:00,EN_CURSO,REALIZADA,
1006,2026-01-08 08:00:00,PROGRAMADA,EN_CURSO,
2001,2026-01-08 08:00:00,PROGRAMADA,EN_CURSO,
430,2026-01-08 08:00:00,PROGRAMADA,EN_CURSO,
1841,2026-01-08 08:00:00,PROGRAMADA,EN_CURSO,
2001,2026-01-08 08:45:00,EN_CURSO,REALIZADA,
1006,2026-01-08 09:00:00,EN_CURSO,REALIZADA,
430,2026-01-08 09:00:00,EN_CURSO,REALIZADA,
1841,2026-01-08 09:00:00,EN_CURSO,REALIZADA,
457,2026-01-08 09:00:00,PROGRAMADA,EN_CURSO,
1873,2026-01-08 09:00:00,PROGRAMADA,EN_CURSO,
637,2026-01-08 09:00:00,PROGRAMADA,EN_CURSO,
457,2026-01-08 09:45:00,EN_CURSO,REALIZADA,
1873,2026-01-08 10:00:00,EN_CURSO,REALIZADA,
637,2026-01-08 10:00:00,EN_CURSO,REALIZADA,
2006,2026-01-08 10:00:00,PROGRAMADA,EN_CURSO,
667,2026-01-08 10:00:00,PROGRAMADA,EN_CURSO,
572,2026-01-08 10:30:00,PROGRAMADA,EN_CURSO,
2006,2026-01-08 10:45:00,EN_CURSO,REALIZADA,
1048,2026-01-08 10:45:00,PROGRAMADA,EN_CURSO,
667,2026-01-08 11:00:00,EN_CURSO,REALIZADA,
531,2026-01-08 11:00:00,PROGRAMADA,EN_CURSO,
1048,2026-01-08 11:30:00,EN_CURSO,REALIZADA,
1680,2026-01-08 11:30:00,PROGRAMADA,EN_CURSO,
1767,2026-01-08 11:30:00,PROGRAMADA,EN_CURSO,
572,2026-01-08 12:00:00,EN_CURSO,REALIZADA,
531,2026-01-08 12:00:00,EN_CURSO,REALIZADA,
1231,2026-01-08 12:00:00,PROGRAMADA,EN_CURSO,
1061,2026-01-08 12:00:00,PROGRAMADA,EN_CURSO,
1767,2026-01-08 12:15:00,EN_CURSO,REALIZADA,
632,2026-01-08 12:15:00,PROGRAMADA,EN_CURSO,
1680,2026-01-08 13:00:00,EN_CURSO,REALIZADA,
1231,2026-01-08 13:00:00,EN_CURSO,REALIZADA,
632,2026-01-08 13:00:00,EN_CURSO,REALIZADA,
1061,2026-01-08 13:30:00,EN_CURSO,REALIZADA,
1737,2026-01-08 13:30:00,PROGRAMADA,EN_CURSO,
1285,2026-01-08 14:00:00,PROGRAMADA,EN_CURSO,
605,2026-01-08 14:00:00,PROGRAMADA,EN_CURSO,
1737,2026-01-08 15:00:00,EN_CURSO,REALIZADA,
605,2026-01-08 15:00:00,EN_CURSO,REALIZADA,
431,2026-01-08 15:00:00,PROGRAMADA,EN_CURSO,
1910,2026-01-08 15:00:00,PROGRAMADA,EN_CURSO,
1285,2026-01-08 15:30:00,EN_CURSO,REALIZADA,
620,2026-01-08 15:30:00,PROGRAMADA,EN_CURSO,
431,2026-01-08 16:00:00,EN_CURSO,REALIZADA,
1910,2026-01-08 16:00:00,EN_CURSO,REALIZADA,
604,2026-01-08 16:00:00,PROGRAMADA,EN_CURSO,
363,2026-01-08 16:00:00,PROGRAMADA,EN_CURSO,
620,2026-01-08 17:00:00,EN_CURSO,REALIZADA,
604,2026-01-08 17:00:00,EN_CURSO,REALIZADA,
363,2026-01-08 17:00:00,EN_CURSO,REALIZADA,
669,2026-01-08 17:00:00,PROGRAMADA,EN_CURSO,
2015,2026-01-08 17:00:00,PROGRAMADA,EN_CURSO,
669,2026-01-08 18:00:00,EN_CURSO,REALIZADA,
2015,2026-01-08 18:00:00,EN_CURSO,REALIZADA,
1016,2026-01-09 08:00:00,PROGRAMADA,EN_CURSO,
1016,2026-01-09 08:45:00,EN_CURSO,REALIZADA,
2042,2026-01-09 09:00:00,PROGRAMADA,EN_CURSO,
2042,2026-01-09 09:45:00,EN_CURSO,REALIZADA,
1329,2026-01-09 10:00:00,PROGRAMADA,EN_CURSO,
1343,2026-01-09 10:00:00,PROGRAMADA,EN_CURSO,
1329,2026-01-09 10:45:00,EN_CURSO,REALIZADA,
385,2026-01-09 10:45:00,PROGRAMADA,EN_CURSO,
1343,2026-01-09 11:00:00,EN_CURSO,REALIZADA,
573,2026-01-09 11:00:00,PROGRAMADA,EN_CURSO,
385,2026-01-09 11:30:00,EN_CURSO,REALIZADA,
1291,2026-01-09 11:30:00,PROGRAMADA,EN_CURSO,
573,2026-01-09 12:00:00,EN_CURSO,REALIZADA,
1739,2026-01-09 12:00:00,PROGRAMADA,EN_CURSO,
1291,2026-01-09 12:15:00,EN_CURSO,REALIZADA,
1834,2026-01-09 12:15:00,PROGRAMADA,EN_CURSO,
1739,2026-01-09 13:00:00,EN_CURSO,REALIZADA,
1834,2026-01-09 13:00:00,EN_CURSO,REALIZADA,
2088,2026-01-09 13:00:00,PROGRAMADA,EN_CURSO,
2088,2026-01-09 14:00:00,EN_CURSO,REALIZADA,
296,2026-01-09 14:00:00,PROGRAMADA,EN_CURSO,
296,2026-01-09 15:00:00,EN_CURSO,REALIZADA,
1304,2026-01-09 16:30:00,PROGRAMADA,EN_CURSO,
1304,2026-01-09 18:00:00,EN_CURSO,REALIZADA,
1151,2026-01-10 08:00:00,PROGRAMADA,EN_CURSO,
1151,2026-01-10 08:45:00,EN_CURSO,REALIZADA,
284,2026-01-10 09:00:00,PROGRAMADA,EN_CURSO,
284,2026-01-10 09:45:00,EN_CURSO,REALIZADA,
1939,2026-01-10 10:00:00,PROGRAMADA,EN_CURSO,
1776,2026-01-10 10:00:00,PROGRAMADA,EN_CURSO,
